address,matched_address,semantic_similarity
"Germany,Schirgiswalde,2681","Untenende 2, 26817 Rhauderfehn, Germany",0
"Katschberghöhe 38 , A-9863 RENNWEG AM KATSCHB. , AT","Atalaia do Norte, Amazonas, Brazil",0
"VIA XXV APRILE NR. 6 ,  , IT","Via Trieste 21, 35010 San Giorgio delle Pertiche Padua, Italy",0
"5572, Sankt AndrÃ¤ im Lungau, Austria","Lengau, Upper Austria, Austria",0
"Germany,Tanne,38875","Am Wasserturm 2, 73104 Börtlingen, Germany",0
"4552, Wartberg, Austria","Wartberg 17, 3730 Straning-Grafenberg, Austria",0
"calle Ali Bey 135local 1, 08013 Barcelona Spain","Carrer De Sardenya 289, 08013 Barcelona, Barcelona, Spain",0.3
"United Kingdom,Little Sutton ,CH66 4JD","339 Chester Road, Ellesmere Port, CH66 3RG, United Kingdom",0.3
"Fao. Krisztina Gerendás, Budapest, Hongarije","Budapest, Gerenda Utca 19, 1163, Hungary",0.3
"Veursestraatweg 88-90, 2265 CE Leidschendam Netherlands","Oude Trambaan 65, 2265 CA Leidschendam, Netherlands",0.3
"2 RUE DE LA CITE - IMMEUBLE DE LA CITE -, 75004 PARIS France","4 Rue Du Bourg Tibourg, 75004 Paris, France",0.3
"(Sao Martinho do Bougado), Rua das Bocas, 168, 4785-191 Trofa Portugal","Rua Da Liberdade 67, 7580-551 São Martinho, Setúbal, Portugal",0.3
"5594 CB, Veldhoven, Netherlands","Veldhoven, 5081 NK Hilvarenbeek, Netherlands",0.3
"Hantumerweg 28, 9101 HB DOKKUM Netherlands","De Wissel, 9101 AB Dokkum, Netherlands",0.3
"Place de Rome 5, 13006 Marseille France","47 Cours Lieutaud, 13006 Marseille, France",0.4
"84036, Kumhausen, Germany","Innere Münchener Straße 54, 84036 Landshut, Germany",0.5
"13100, Le Tholonet, France","31 Rue Du Maréchal Foch, 13100 Aix-en-Provence, France",0.5
"Emiel van dorenlaan 302, 3600 Genk Belgium","Emiel Van Dorenlaan 135, 3600 Genk, Limburg, Belgium",0.5
"1562 GA, Krommenie, Netherlands","Waterjuffer 13, 1562 LA Krommenie, Netherlands",0.5
"1019 JR, Amsterdam, Netherlands","C. Van Eesterenlaan 220, 1019 JL Amsterdam, Netherlands",0.5
"Germany,Bremen-Hemelingen,28309","Zum Sebaldsbrücker Bahnhof 59, 28309 Bremen, Germany",0.5
"France,La celle les bordes,78720","1d Rue De Limours, 78720 Cernay-la-Ville, France",0.5
"Germany,Malching,94094","Marktplatz 39, 94094 Rotthalmünster, Germany",0.5
"Oberspreestraße 61LTruKa des, 12439 Berlin Germany","Oberspreestraße 67a, 12489 Berlin, Germany",0.5
